timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610493118763,476,Parent,200,"Number of samples in transaction : 2, number of failing samples : 1",Group of 20 1-4,,false,,3272,292,10,10,null,0,3,150
1610493118764,310,HTTP Request,200,OK,Group of 20 1-4,text,true,,997,125,10,10,http://ghibliapi.herokuapp.com/,310,0,150
1610493119075,166,Totoro by id,200,OK,Group of 20 1-4,text,false,"Value expected to match regexp 'My Neighbor Totoro
', but it did not match: 'My Neighbor Totoro'",2275,167,10,10,http://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,166,0,0
1610493118813,491,Parent,200,"Number of samples in transaction : 2, number of failing samples : 1",Group of 20 1-5,,false,,3272,292,10,10,null,0,2,150
1610493118814,327,HTTP Request,200,OK,Group of 20 1-5,text,true,,997,125,11,11,http://ghibliapi.herokuapp.com/,327,0,150
1610493119142,164,Totoro by id,200,OK,Group of 20 1-5,text,false,"Value expected to match regexp 'My Neighbor Totoro
', but it did not match: 'My Neighbor Totoro'",2275,167,10,10,http://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,164,0,0
1610493118863,482,Parent,200,"Number of samples in transaction : 2, number of failing samples : 1",Group of 20 1-6,,false,,3272,292,10,10,null,0,1,150
1610493118864,321,HTTP Request,200,OK,Group of 20 1-6,text,true,,997,125,12,12,http://ghibliapi.herokuapp.com/,321,0,150
1610493119185,161,Totoro by id,200,OK,Group of 20 1-6,text,false,"Value expected to match regexp 'My Neighbor Totoro
', but it did not match: 'My Neighbor Totoro'",2275,167,10,10,http://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,161,0,0
1610493118912,473,Parent,200,"Number of samples in transaction : 2, number of failing samples : 1",Group of 20 1-7,,false,,3272,292,10,10,null,0,1,150
1610493118912,313,HTTP Request,200,OK,Group of 20 1-7,text,true,,997,125,10,10,http://ghibliapi.herokuapp.com/,313,0,150
1610493119226,160,Totoro by id,200,OK,Group of 20 1-7,text,false,"Value expected to match regexp 'My Neighbor Totoro
', but it did not match: 'My Neighbor Totoro'",2275,167,10,10,http://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,160,0,0
1610493118966,480,Parent,200,"Number of samples in transaction : 2, number of failing samples : 1",Group of 20 1-8,,false,,3272,292,10,10,null,0,2,148
1610493118967,319,HTTP Request,200,OK,Group of 20 1-8,text,true,,997,125,10,10,http://ghibliapi.herokuapp.com/,319,0,148
1610493119286,161,Totoro by id,200,OK,Group of 20 1-8,text,false,"Value expected to match regexp 'My Neighbor Totoro
', but it did not match: 'My Neighbor Totoro'",2275,167,10,10,http://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,161,0,0
1610493119016,491,Parent,200,"Number of samples in transaction : 2, number of failing samples : 1",Group of 20 1-9,,false,,3272,292,10,10,null,0,1,151
1610493119016,318,HTTP Request,200,OK,Group of 20 1-9,text,true,,997,125,10,10,http://ghibliapi.herokuapp.com/,318,0,151
1610493119334,173,Totoro by id,200,OK,Group of 20 1-9,text,false,"Value expected to match regexp 'My Neighbor Totoro
', but it did not match: 'My Neighbor Totoro'",2275,167,10,10,http://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,173,0,0
1610493119063,487,Parent,200,"Number of samples in transaction : 2, number of failing samples : 1",Group of 20 1-10,,false,,3272,292,10,10,null,0,1,152
